ASV,kingdom,phylum,class,order,family,genus,HexColor,ColorOrder
ASV_4683,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,[Eubacterium] xylanophilum group,#BEA89A,104
ASV_4684,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Arcticibacter,#1CF8EC,125
ASV_4685,Bacteria,Firmicutes,<not present>,<not present>,<not present>,<not present>,#D0D0D0,188
ASV_4686,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,<not present>,#BEA89A,104
ASV_4687,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Ileibacterium,#FBA22E,62
ASV_4688,Bacteria,Firmicutes,<not present>,<not present>,<not present>,<not present>,#D0D0D0,188
ASV_4689,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,<not present>,#BEA89A,104
ASV_469,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,#D0D0D0,188
ASV_4690,Bacteria,Firmicutes,Clostridia,Oscillospirales,<not present>,<not present>,#BEA89A,104
ASV_4691,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,<not present>,#BEA89A,104
ASV_4692,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Ileibacterium,#FBA22E,62
ASV_4693,Bacteria,Firmicutes,Bacilli,Thermoactinomycetales,Thermoactinomycetaceae,Novibacillus,#5875DE,83
ASV_4694,Bacteria,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus,#5875DE,83
ASV_4695,Bacteria,Firmicutes,Clostridia,<not present>,<not present>,<not present>,#BEA89A,104
ASV_4696,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Anaerovoracaceae,<not present>,#BEA89A,104
ASV_4697,Bacteria,Firmicutes,Bacilli,RF39,<not present>,<not present>,#5875DE,83
ASV_4698,Bacteria,Chloroflexi,Ktedonobacteria,Ktedonobacterales,Ktedonobacteraceae,<not present>,#D0D0D0,188
ASV_4699,Bacteria,Actinobacteriota,Coriobacteriia,Coriobacteriales,Atopobiaceae,Coriobacteriaceae UCG-002,#D0D0D0,188
ASV_47,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae UCG-006,#BEA89A,104
ASV_470,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,A2,#BEA89A,104
ASV_4700,Bacteria,Firmicutes,<not present>,<not present>,<not present>,<not present>,#D0D0D0,188
ASV_4701,Bacteria,<not present>,<not present>,<not present>,<not present>,<not present>,#D0D0D0,188
ASV_4702,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae UCG-008,#BEA89A,104
ASV_4703,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,<not present>,#BEA89A,104
ASV_4704,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,<not present>,#BEA89A,104
ASV_4705,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Intrasporangiaceae,<not present>,#D0D0D0,188
ASV_4706,Bacteria,Firmicutes,Clostridia,Clostridiales,Caloramatoraceae,Fonticella,#BEA89A,104
ASV_4707,Bacteria,Firmicutes,Clostridia,Oscillospirales,Hungateiclostridiaceae,<not present>,#BEA89A,104
ASV_4708,Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Solirubrobacter,#D0D0D0,188
ASV_4709,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,<not present>,#BEA89A,104
ASV_471,Bacteria,Firmicutes,Clostridia,Clostridia UCG-014,<not present>,<not present>,#BEA89A,104
ASV_4710,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Peptostreptococcaceae,<not present>,#BEA89A,104
ASV_4711,Bacteria,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Sporomusaceae,Sporomusa,#D0D0D0,188
ASV_4712,Bacteria,Firmicutes,<not present>,<not present>,<not present>,<not present>,#D0D0D0,188
ASV_4713,Bacteria,Firmicutes,<not present>,<not present>,<not present>,<not present>,#D0D0D0,188
ASV_4714,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,Incertae Sedis,#BEA89A,104
