SampleID	Acidobacteria	Actinobacteria	Bacteroidetes	Chlamydiae	Chloroflexi	Cyanobacteria	Deferribacteres	Deinococcus_Thermus	Dependentiae	Epsilonbacteraeota	Euryarchaeota	Firmicutes	Fusobacteria	Lentisphaerae	Patescibacteria	Planctomycetes	Proteobacteria	Spirochaetes	Synergistetes	Tenericutes	Verrucomicrobia	unclassified
1124A	0	70	2014	0	0	0	0	0	0	0	0	884	0	0	0	0	127	0	0	0	77	0
1124D	0	101	912	0	0	34	2	0	0	0	0	9991	0	0	0	0	519	0	0	80	327	69
1124H	0	509	0	0	0	0	0	0	0	0	0	33646	0	0	0	0	255	0	0	0	0	0
1127D	0	2842	7777	0	0	0	0	0	0	0	0	34860	2520	0	0	0	17	0	0	0	0	9
1127E	0	15	0	0	0	28	0	0	0	0	0	17897	0	0	0	0	88	0	0	0	0	0
1132A	0	950	449	0	0	0	0	0	0	0	50	26218	0	0	0	0	593	0	22	0	22	27
1132B	0	289	0	0	0	0	0	0	0	0	0	12671	0	0	0	0	1646	0	0	0	3	0
1133A	0	644	548	0	0	0	0	0	0	0	0	4280	0	0	0	0	35	0	0	0	0	0
1133B	0	812	2629	0	0	0	0	0	0	0	0	28534	0	0	0	0	57	0	0	0	13	0
1133D	0	893	2584	0	0	0	0	0	0	0	0	22836	0	0	0	0	287	0	0	0	8	8
1136D	0	374	11	0	0	5	0	0	0	0	0	27782	0	0	0	0	224	0	0	0	0	28
1138C	0	224	51	0	0	0	0	0	0	0	0	10849	0	0	0	0	10	0	0	0	11	0
1144E	0	208	19	0	0	35	0	0	0	0	0	29160	0	0	0	0	2189	0	0	0	0	14
1150C	0	595	0	0	0	0	0	0	0	0	0	10312	0	0	0	0	0	0	0	0	176	0
1150D	0	2222	19	0	0	0	0	0	0	0	0	28173	0	0	0	0	0	0	0	0	588	0
1151H	0	2881	10	0	0	0	0	0	0	0	0	19998	0	0	0	0	67	0	0	0	337	0
1156B	0	810	846	0	0	5	0	0	0	0	0	12003	0	0	0	0	433	0	0	0	102	0
1157C	0	1144	28349	0	0	0	0	0	0	0	0	87189	0	0	0	0	10	0	5	0	37	0
1157D	0	5628	978	0	0	4	0	0	0	0	0	67086	0	0	17	0	10	0	0	0	35	7
1157DD	0	527	2846	0	0	696	0	0	0	0	0	9018	0	0	0	0	730	0	0	8	659	56
1157E	0	1768	368	0	0	0	0	0	0	0	0	28990	0	0	2	0	2	0	0	0	0	2
1157F	0	4438	274	0	16	6	0	0	0	0	0	138519	4	0	0	0	77	0	14	0	35	21
1157T	0	310	912	6	0	0	0	0	0	0	0	6030	0	0	7	0	509	5	3	0	66	0
