SampleID	Acidobacteria	Actinobacteria	Bacteroidetes	Chlamydiae	Chloroflexi	Cyanobacteria	Deferribacteres	Deinococcus_Thermus	Dependentiae	Epsilonbacteraeota	Euryarchaeota	Firmicutes	Fusobacteria	Lentisphaerae	Patescibacteria	Planctomycetes	Proteobacteria	Spirochaetes	Synergistetes	Tenericutes	Verrucomicrobia	unclassified
1066F	0	58.5578167274438	1.54687683801906	0	0	0	0	0	0	0	0	26.0851664510058	13.010234090107	0	0	0	0.370544641806846	0	0	0	0.276438066109869	0.152923185507587
1070A	0	13.694020191561	1.54456812494607	0	0	0	0	0	0	0	0	83.9416688238847	0	0	0	0	0.819742859608249	0	0	0	0	0
1082B	0	0.830947559527966	0.167586062425808	0	0	0	0	0	0	0	0	87.8744501082327	0	0	0	0	0.0174568815026884	0	0	0	8.71098386984149	2.39857551846938
1086A	0	1.73132217045682	31.2906499377278	0	0	0	0	0	0	0	0	66.9411258206867	0.00153758629703092	0	0	0	0.00999431093070099	0	0	0	0.0253701739010102	0
1086C	0	1.37954239569314	5.9850269179004	0	0	0	0	0	0	0	0	92.5723418573351	0	0	0	0	0	0	0	0	0.0294414535666218	0.0336473755047106
1088	0	3.81264316143258	0.0503071949992507	0	0	0	0	0	0	0	0	95.7142551324043	0.188741178401444	0	0	0	0.164122763827343	0	0.00178394308507981	0	0.0681466258500489	0
1094B	0	0.18896447467876	0.0485908649173955	0	0	0	0	0	0	0	0	99.5113918583306	0	0	0	0	0.0674873123852716	0	0	0	0	0.183565489687939
1106F	0	11.2757848889964	0.151231020506926	0	0	0	0	0	0	0	0.0181477224608312	88.3521868005565	0	0	0	0	0.190551085838727	0	0	0	0.0120984816405541	0
1107O	0	1.02109515260323	2.49102333931777	0	0	0.807899461400359	0	0	0	0	0	86.1983842010772	0	0	0	0	8.04533213644524	0	0	0.179533213644524	1.11086175942549	0.145870736086176
1108J	0	0.040515902491728	0.13505300830576	0	0	0	0	0	0	0	0	99.6623674792356	0	0	0	0	0	0	0	0	0	0.162063609966912
1110G	0	0.149322306455318	0	0	0	0	0	0	0	0	0	99.5290604181025	0	0	0	0	0.114863312657937	0	0	0	0.206753962784287	0
