1390A,3.664764,2.1239862
2000C,7.495333,1.70012
1390B,7.65268,1.4684786
FMT.0062A,-3.3763843,-1.146219
FMT.0097P,2.6406393,5.9708676
FMT.0173A,-1.9807738,-1.6170294
2018A,-4.7753434,2.0667508
FMT.0078B,-3.0257874,1.305032
2018B,-4.5725937,2.1599154
2004A,-2.1539783,2.021222
1070A,-3.931538,0.45755664
FMT.0178A,1.3338709,-1.0738351
2011A,-3.743235,-0.26914302
661A,-2.4188695,4.9358587
FMT.0188A,-4.34942,-0.0014136855
406A,-3.0472648,-1.3245093
1070B,-4.087299,0.93690765
2004B,4.855558,2.9337819
406B,-3.2956765,-1.0160154
1155A,1.9491335,-0.5212215
1092A,-0.08643874,3.173801
FMT.0097Q,4.102637,2.1929183
2011B,-0.13560864,0.15603971
1070C,3.414932,1.7868589
FMT.0077NN,-1.5290257,6.299822
1092B,0.81053245,3.839142
2004C,0.032207277,-1.4784596
1092C,-2.3207319,5.000256
1092D,-1.6715438,6.826487
835A,-2.5085511,0.64452076
1092E,2.4454982,5.9407682
FMT.0077OO,1.9034034,4.856487
FMT.0077PP,2.478091,5.014187
1155B,6.2063265,1.4336083
1376F,-5.0133724,1.1500107
1158A,-3.880024,0.5433904
1167RR,-0.84074104,6.365684
1167SS,-0.34101495,4.8481474
1167TT,-0.42954677,5.0076714
1092F,0.77307975,5.048143
665G,-3.7897742,-0.6406257
FMT.0132A,-2.3245828,-1.764777
1092G,0.7490266,4.7601423
406C,3.93237,4.0495777
1092H,0.58529973,4.162133
FMT.0185A,0.8476443,-1.1442684
2000D,-2.5199542,0.2529386
2023B,-2.4286854,2.6793857
1036A,-1.0306622,-1.2190148
224G,-4.607621,1.7810591
FMT.0077QQ,5.593324,1.3535426
1133A,-3.736771,0.9260797
FMT.0077RR,1.8562485,3.5579007
1167UU,3.913953,2.3806393
1092I,0.6722524,4.0390396
224H,-4.741513,1.8753302
1133B,-2.539437,-0.051505458
FMT.0077SS,5.4096465,1.8262932
2004D,2.282574,2.0316842
FMT.0125B,7.629012,1.5064231
2019A,-3.9153333,0.55185324
2023C,-2.2759743,7.7410426
2025A,-3.0403965,-1.0109103
FMT.0224A,-1.7895011,-1.7520354
FMT.0158T,-4.1579266,1.6723257
201A,-2.1582081,0.44833457
FMT.0158U,-0.017870003,1.6877724
932H,-3.240832,-0.47955018
FMT.0060A,-1.5270402,-1.490717
FMT.0125C,7.1296515,1.6513971
FMT.0226A,-0.96937174,-1.4317093
1133D,3.4650376,2.4285638
1167VV,2.6069212,3.2229726
FMT.0125D,1.1803564,0.9181578
156A,-3.2467453,-1.8572536
1167WW,2.7592738,4.7017727
